epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
70,6018.34,0.21966,0.27965,0.24999,0.81758,0,0.59675,0.26173,0.30475,0.25987,0.59215,0.25747,0.29978,0.24579,1.00257,1.83559,3.16195,1.55231,0,4.94364e-05,4.94364e-05,4.94364e-05
71,6104.63,0.21667,0.28218,0.24686,0.81785,0,0.59627,0.25552,0.29184,0.24694,0.59079,0.25144,0.28667,0.23413,1.01713,1.84953,3.24306,1.58512,0,4.7892e-05,4.7892e-05,4.7892e-05
72,6190.67,0.22166,0.28143,0.24844,0.82021,0,0.60392,0.29077,0.33413,0.28236,0.59742,0.28452,0.32768,0.26425,0.91111,1.66815,2.95458,1.43308,0,4.63476e-05,4.63476e-05,4.63476e-05
73,6275.95,0.21624,0.27675,0.24466,0.81921,0,0.58448,0.29408,0.33653,0.28401,0.58414,0.28934,0.33096,0.26901,0.92513,1.64101,2.92352,1.45653,0,4.48032e-05,4.48032e-05,4.48032e-05
74,6361.46,0.2175,0.27774,0.2456,0.81891,0,0.60588,0.28122,0.32619,0.27551,0.60251,0.27718,0.31984,0.26274,0.95762,1.65009,3.03295,1.5034,0,4.32588e-05,4.32588e-05,4.32588e-05
75,6447.27,0.21457,0.27377,0.2408,0.81938,0,0.60619,0.25445,0.29219,0.24589,0.60182,0.24874,0.28508,0.23376,1.06915,1.89837,3.26485,1.65348,0,4.17144e-05,4.17144e-05,4.17144e-05
76,6533.18,0.21522,0.27737,0.23795,0.81762,0,0.61685,0.26676,0.30522,0.25637,0.61178,0.2615,0.29787,0.24166,1.00927,1.78017,3.1642,1.56924,0,4.017e-05,4.017e-05,4.017e-05
77,6618.8,0.21047,0.27104,0.23124,0.81905,0,0.57056,0.26742,0.30316,0.25655,0.56525,0.26384,0.29941,0.24464,1.0354,1.79707,3.1557,1.60535,0,3.86256e-05,3.86256e-05,3.86256e-05
78,6704.53,0.21587,0.27709,0.2377,0.8183,0,0.58997,0.24729,0.2853,0.24029,0.59045,0.244,0.28079,0.22935,1.07723,1.91586,3.31982,1.65435,0,3.70812e-05,3.70812e-05,3.70812e-05
79,6790.22,0.21449,0.27763,0.23522,0.81844,0,0.57417,0.24102,0.27481,0.23401,0.57428,0.23926,0.27283,0.22398,1.13139,1.96053,3.4121,1.71136,0,3.55368e-05,3.55368e-05,3.55368e-05
80,6876.37,0.20997,0.27422,0.23351,0.81687,0,0.59189,0.27306,0.3109,0.26476,0.5906,0.27027,0.30582,0.25181,0.99031,1.72303,3.15076,1.54117,0,3.39924e-05,3.39924e-05,3.39924e-05
81,6962.24,0.21204,0.27289,0.23426,0.81559,0,0.58401,0.27265,0.30788,0.26005,0.57709,0.26691,0.30177,0.24637,1.02271,1.84053,3.16012,1.58602,0,3.2448e-05,3.2448e-05,3.2448e-05
